State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Chittor,Palamaner,Potato,(Red Nanital),FAQ,09-05-2025,1100,2200,1600
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,09-05-2025,8000,10000,9000
Andhra Pradesh,East Godavari,Rajahmundry,Mango,Safeda,Medium,09-05-2025,3000,3500,3200
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,FAQ,09-05-2025,10000,11400,10550
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,09-05-2025,7000,12000,10000
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,09-05-2025,6000,6200,6100
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,09-05-2025,2500,4300,3600
Andhra Pradesh,Krishna,Tiruvuru,Rice,1009 Kar,FAQ,09-05-2025,4500,4900,4700
Andhra Pradesh,Krishna,Tiruvuru,Rice,Fine,FAQ,09-05-2025,4300,4500,4400
Andhra Pradesh,Kurnool,Adoni,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,09-05-2025,6221,6221,6221
Andhra Pradesh,Kurnool,Kurnool,Dry Chillies,Local,FAQ,09-05-2025,3700,8559,5699
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,Non-FAQ,09-05-2025,3636,5760,3813
Andhra Pradesh,Kurnool,Kurnool,Maize,Local,FAQ,09-05-2025,2079,2250,2166
Andhra Pradesh,Kurnool,Yemmiganur,Castor Seed,Castor seed,FAQ,09-05-2025,5470,5470,5470
Andhra Pradesh,Nellore,Rapur,Wood,Casuarina,FAQ,09-05-2025,5800,6200,6000
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,09-05-2025,3650,3800,3725
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,09-05-2025,2300,2500,2400
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,09-05-2025,600,1800,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,FAQ,09-05-2025,1000,1800,1500
